id	segment_id	bass	intervals	onbeat	offbeat	labels	next	next_bass	next_label
323	12	C	('M3', 'P5')	('M3', 'P5')	('P5',)	major	(323, 13)	C	major
323	13	C	('M3', 'P5')	('M3', 'P5')	('P5',)	major	(323, 14)	B	minor64
323	14	B	('P4', 'm6')	('P4', 'm6')	('m6',)	minor64	(323, 15)	B	dominant7
323	15	B	('M3', 'P5', 'm6', 'm7')	('M3', 'P5', 'm6', 'm7')	('M3', 'P5')	dominant7	(323, 16)	E	minor
323	16	E	('m2', 'm3', 'P5')	('m3', 'P5')	('m2', 'm3')	minor	(323, 17)	G	dominant7
323	17	G	('M3', 'P5', 'm7')	('M3', 'm7')	('P5', 'm7')	dominant7	(323, 18)	G	dominant7
323	18	G	('M3', 'P4', 'P5', 'M6', 'm7')	('M3', 'P4', 'P5', 'm7')	('M6',)	dominant7	(323, 19)	C	major
323	19	C	('M3', 'P5')	('M3', 'P5')	('M3',)	major	(323, 20)	C	major
323	20	C	('M3', 'P5')	('M3', 'P5')	('P5',)	major	(323, 21)	E	major6
323	21	E	('m3', 'm6')	('m3', 'm6')	('m6',)	major6	(323, 22)	C	major
323	22	C	('M3', 'P5')	('M3', 'P5')	('M3', 'P5')	major	(323, 23)	G	dominant7
323	23	G	('M3', 'P5', 'M6', 'm7')	('M3', 'P5', 'M6', 'm7')	()	dominant7	(323, 24)	C	major
323	24	C	('M3', 'P5')	('M3', 'P5')	()	major			
324	1	G	('M3', 'P5', 'm7')	('M3', 'P5', 'm7')	('P5',)	dominant7	(324, 2)	G	dominant7
324	2	G	('M2', 'M3', 'P5', 'm7')	('M2', 'M3', 'P5', 'm7')	()	dominant7	(324, 3)	C	major
324	3	C	('M2', 'M3', 'P5', 'M7')	('M3', 'P5')	('M2', 'P5', 'M7')	major	(324, 4)	C	major
