id	mc	section	keysig	timesig	duration	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	mn	next
20	7	0	-2	3/4	3/4	3/4	0	3						7	[8]
20	8	0	-2	3/4	3/4	1/2	0	3	endRepeat					8	[9, 0]
20	9	1	-2	3/4	3/4	1/4	1/2	2	startRepeat				1	8	[10]
20	10	1	-2	3/4	3/4	3/4	0	3						9	[11]
20	11	1	-2	3/4	3/4	3/4	0	3						10	[12]
20	12	1	-2	3/4	3/4	3/4	0	2						11	[13]
20	13	1	-2	3/4	3/4	3/4	0	2						12	[14]
20	14	1	-2	3/4	3/4	3/4	0	3						13	[15]
20	15	1	-2	3/4	3/4	3/4	0	2						14	[16]
20	16	1	-2	3/4	3/4	3/4	0	3						15	[17]
20	17	1	-2	3/4	3/4	3/4	0	3						16	[18]
20	18	1	-2	3/4	3/4	3/4	0	3						17	[19]
20	19	1	-2	3/4	3/4	1/2	0	2	endRepeat					18	[9]
21	0	0	2	3/4	3/4	1/4	1/2	2	firstMeasure				1	0	[1]
21	1	0	2	3/4	3/4	3/4	0	2						1	[2]
21	2	0	2	3/4	3/4	3/4	0	2						2	[3]
21	3	0	2	3/4	3/4	3/4	0	2						3	[4]
21	4	0	2	3/4	3/4	3/4	0	2						4	[5]
